Lat,Long
3.890625,32.453125
3.890625,32.45520833
3.890625,32.45729166
3.890625,32.459375
3.890625,32.46145833
3.890625,32.46354166
3.890625,32.465625
3.890625,32.46770833
3.890625,32.46979166
3.890625,32.471875
3.890625,32.47395833
3.890625,32.47604166
3.890625,32.478125
3.890625,32.48020833
3.890625,32.48229166
3.890625,32.484375
3.890625,32.48645833
3.890625,32.48854166
3.890625,32.490625
3.890625,32.49270833
3.890625,32.49479166
3.890625,32.496875
3.890625,32.49895833
3.890625,32.50104166
3.890625,32.503125
3.890625,32.50520833
3.890625,32.50729166
3.890625,32.509375
3.890625,32.51145833
3.888541666,32.453125
3.888541666,32.45520833
3.888541666,32.45729166
3.888541666,32.459375
3.888541666,32.46145833
3.888541666,32.46354166
3.888541666,32.465625
3.888541666,32.46770833
3.888541666,32.46979166
3.888541666,32.471875
3.888541666,32.47395833
3.888541666,32.47604166
3.888541666,32.478125
3.888541666,32.48020833
3.888541666,32.48229166
3.888541666,32.484375
3.888541666,32.48645833
3.888541666,32.48854166
3.888541666,32.490625
3.888541666,32.49270833
3.888541666,32.49479166
3.888541666,32.496875
3.888541666,32.49895833
3.888541666,32.50104166
3.888541666,32.503125
3.888541666,32.50520833
3.888541666,32.50729166
3.888541666,32.509375
3.888541666,32.51145833
3.886458333,32.453125
3.886458333,32.45520833
3.886458333,32.45729166
3.886458333,32.459375
3.886458333,32.46145833
3.886458333,32.46354166
3.886458333,32.465625
3.886458333,32.46770833
3.886458333,32.46979166
3.886458333,32.471875
3.886458333,32.47395833
3.886458333,32.47604166
3.886458333,32.478125
3.886458333,32.48020833
3.886458333,32.48229166
3.886458333,32.484375
3.886458333,32.48645833
3.886458333,32.48854166
3.886458333,32.490625
3.886458333,32.49270833
3.886458333,32.49479166
3.886458333,32.496875
3.886458333,32.49895833
3.886458333,32.50104166
3.886458333,32.503125
3.886458333,32.50520833
3.886458333,32.50729166
3.886458333,32.509375
3.886458333,32.51145833
3.884375,32.453125
3.884375,32.45520833
3.884375,32.45729166
3.884375,32.459375
3.884375,32.46145833
3.884375,32.46354166
3.884375,32.465625
3.884375,32.46770833
3.884375,32.46979166
3.884375,32.471875
3.884375,32.47395833
3.884375,32.47604166
3.884375,32.478125
3.884375,32.48020833
3.884375,32.48229166
3.884375,32.484375
3.884375,32.48645833
3.884375,32.48854166
3.884375,32.490625
3.884375,32.49270833
3.884375,32.49479166
3.884375,32.496875
3.884375,32.49895833
3.884375,32.50104166
3.884375,32.503125
3.884375,32.50520833
3.884375,32.50729166
3.884375,32.509375
3.884375,32.51145833
3.882291666,32.453125
3.882291666,32.45520833
3.882291666,32.45729166
3.882291666,32.459375
3.882291666,32.46145833
3.882291666,32.46354166
3.882291666,32.465625
3.882291666,32.46770833
3.882291666,32.46979166
3.882291666,32.471875
3.882291666,32.47395833
3.882291666,32.47604166
3.882291666,32.478125
3.882291666,32.48020833
3.882291666,32.48229166
3.882291666,32.484375
3.882291666,32.48645833
3.882291666,32.48854166
3.882291666,32.490625
3.882291666,32.49270833
3.882291666,32.49479166
3.882291666,32.496875
3.882291666,32.49895833
3.882291666,32.50104166
3.882291666,32.503125
3.882291666,32.50520833
3.882291666,32.50729166
3.882291666,32.509375
3.882291666,32.51145833
3.880208333,32.453125
3.880208333,32.45520833
3.880208333,32.45729166
3.880208333,32.459375
3.880208333,32.46145833
3.880208333,32.46354166
3.880208333,32.465625
3.880208333,32.46770833
3.880208333,32.46979166
3.880208333,32.471875
3.880208333,32.47395833
3.880208333,32.47604166
3.880208333,32.478125
3.880208333,32.48020833
3.880208333,32.48229166
3.880208333,32.484375
3.880208333,32.48645833
3.880208333,32.48854166
3.880208333,32.490625
3.880208333,32.49270833
3.880208333,32.49479166
3.880208333,32.496875
3.880208333,32.49895833
3.880208333,32.50104166
3.880208333,32.503125
3.880208333,32.50520833
3.880208333,32.50729166
3.880208333,32.509375
3.880208333,32.51145833
3.878125,32.453125
3.878125,32.45520833
3.878125,32.45729166
3.878125,32.459375
3.878125,32.46145833
3.878125,32.46354166
3.878125,32.465625
3.878125,32.46770833
3.878125,32.46979166
3.878125,32.471875
3.878125,32.47395833
3.878125,32.47604166
3.878125,32.478125
3.878125,32.48020833
3.878125,32.48229166
3.878125,32.484375
3.878125,32.48645833
3.878125,32.48854166
3.878125,32.490625
3.878125,32.49270833
3.878125,32.49479166
3.878125,32.496875
3.878125,32.49895833
3.878125,32.50104166
3.878125,32.503125
3.878125,32.50520833
3.878125,32.50729166
3.878125,32.509375
3.878125,32.51145833
3.876041666,32.453125
3.876041666,32.45520833
3.876041666,32.45729166
3.876041666,32.459375
3.876041666,32.46145833
3.876041666,32.46354166
3.876041666,32.465625
3.876041666,32.46770833
3.876041666,32.46979166
3.876041666,32.471875
3.876041666,32.47395833
3.876041666,32.47604166
3.876041666,32.478125
3.876041666,32.48020833
3.876041666,32.48229166
3.876041666,32.484375
3.876041666,32.48645833
3.876041666,32.48854166
3.876041666,32.490625
3.876041666,32.49270833
3.876041666,32.49479166
3.876041666,32.496875
3.876041666,32.49895833
3.876041666,32.50104166
3.876041666,32.503125
3.876041666,32.50520833
3.876041666,32.50729166
3.876041666,32.509375
3.876041666,32.51145833
3.873958333,32.453125
3.873958333,32.45520833
3.873958333,32.45729166
3.873958333,32.459375
3.873958333,32.46145833
3.873958333,32.46354166
3.873958333,32.465625
3.873958333,32.46770833
3.873958333,32.46979166
3.873958333,32.471875
3.873958333,32.47395833
3.873958333,32.47604166
3.873958333,32.478125
3.873958333,32.48020833
3.873958333,32.48229166
3.873958333,32.484375
3.873958333,32.48645833
3.873958333,32.48854166
3.873958333,32.490625
3.873958333,32.49270833
3.873958333,32.49479166
3.873958333,32.496875
3.873958333,32.49895833
3.873958333,32.50104166
3.873958333,32.503125
3.873958333,32.50520833
3.873958333,32.50729166
3.873958333,32.509375
3.873958333,32.51145833
3.871875,32.453125
3.871875,32.45520833
3.871875,32.45729166
3.871875,32.459375
3.871875,32.46145833
3.871875,32.46354166
3.871875,32.465625
3.871875,32.46770833
3.871875,32.46979166
3.871875,32.471875
3.871875,32.47395833
3.871875,32.47604166
3.871875,32.478125
3.871875,32.48020833
3.871875,32.48229166
3.871875,32.484375
3.871875,32.48645833
3.871875,32.48854166
3.871875,32.490625
3.871875,32.49270833
3.871875,32.49479166
3.871875,32.496875
3.871875,32.49895833
3.871875,32.50104166
3.871875,32.503125
3.871875,32.50520833
3.871875,32.50729166
3.871875,32.509375
3.871875,32.51145833
3.869791666,32.453125
3.869791666,32.45520833
3.869791666,32.45729166
3.869791666,32.459375
3.869791666,32.46145833
3.869791666,32.46354166
3.869791666,32.465625
3.869791666,32.46770833
3.869791666,32.46979166
3.869791666,32.471875
3.869791666,32.47395833
3.869791666,32.47604166
3.869791666,32.478125
3.869791666,32.48020833
3.869791666,32.48229166
3.869791666,32.484375
3.869791666,32.48645833
3.869791666,32.48854166
3.869791666,32.490625
3.869791666,32.49270833
3.869791666,32.49479166
3.869791666,32.496875
3.869791666,32.49895833
3.869791666,32.50104166
3.869791666,32.503125
3.869791666,32.50520833
3.869791666,32.50729166
3.869791666,32.509375
3.869791666,32.51145833
3.867708333,32.453125
3.867708333,32.45520833
3.867708333,32.45729166
3.867708333,32.459375
3.867708333,32.46145833
3.867708333,32.46354166
3.867708333,32.465625
3.867708333,32.46770833
3.867708333,32.46979166
3.867708333,32.471875
3.867708333,32.47395833
3.867708333,32.47604166
3.867708333,32.478125
3.867708333,32.48020833
3.867708333,32.48229166
3.867708333,32.484375
3.867708333,32.48645833
3.867708333,32.48854166
3.867708333,32.490625
3.867708333,32.49270833
3.867708333,32.49479166
3.867708333,32.496875
3.867708333,32.49895833
3.867708333,32.50104166
3.867708333,32.503125
3.867708333,32.50520833
3.867708333,32.50729166
3.867708333,32.509375
3.867708333,32.51145833
3.865625,32.453125
3.865625,32.45520833
3.865625,32.45729166
3.865625,32.459375
3.865625,32.46145833
3.865625,32.46354166
3.865625,32.465625
3.865625,32.46770833
3.865625,32.46979166
3.865625,32.471875
3.865625,32.47395833
3.865625,32.47604166
3.865625,32.478125
3.865625,32.48020833
3.865625,32.48229166
3.865625,32.484375
3.865625,32.48645833
3.865625,32.48854166
3.865625,32.490625
3.865625,32.49270833
3.865625,32.49479166
3.865625,32.496875
3.865625,32.49895833
3.865625,32.50104166
3.865625,32.503125
3.865625,32.50520833
3.865625,32.50729166
3.865625,32.509375
3.865625,32.51145833
3.863541666,32.453125
3.863541666,32.45520833
3.863541666,32.45729166
3.863541666,32.459375
3.863541666,32.46145833
3.863541666,32.46354166
3.863541666,32.465625
3.863541666,32.46770833
3.863541666,32.46979166
3.863541666,32.471875
3.863541666,32.47395833
3.863541666,32.47604166
3.863541666,32.478125
3.863541666,32.48020833
3.863541666,32.48229166
3.863541666,32.484375
3.863541666,32.48645833
3.863541666,32.48854166
3.863541666,32.490625
3.863541666,32.49270833
3.863541666,32.49479166
3.863541666,32.496875
3.863541666,32.49895833
3.863541666,32.50104166
3.863541666,32.503125
3.863541666,32.50520833
3.863541666,32.50729166
3.863541666,32.509375
3.863541666,32.51145833
3.861458333,32.453125
3.861458333,32.45520833
3.861458333,32.45729166
3.861458333,32.459375
3.861458333,32.46145833
3.861458333,32.46354166
3.861458333,32.465625
3.861458333,32.46770833
3.861458333,32.46979166
3.861458333,32.471875
3.861458333,32.47395833
3.861458333,32.47604166
3.861458333,32.478125
3.861458333,32.48020833
3.861458333,32.48229166
3.861458333,32.484375
3.861458333,32.48645833
3.861458333,32.48854166
3.861458333,32.490625
3.861458333,32.49270833
3.861458333,32.49479166
3.861458333,32.496875
3.861458333,32.49895833
3.861458333,32.50104166
3.861458333,32.503125
3.861458333,32.50520833
3.861458333,32.50729166
3.861458333,32.509375
3.861458333,32.51145833
3.859375,32.453125
3.859375,32.45520833
3.859375,32.45729166
3.859375,32.459375
3.859375,32.46145833
3.859375,32.46354166
3.859375,32.465625
3.859375,32.46770833
3.859375,32.46979166
3.859375,32.471875
3.859375,32.47395833
3.859375,32.47604166
3.859375,32.478125
3.859375,32.48020833
3.859375,32.48229166
3.859375,32.484375
3.859375,32.48645833
3.859375,32.48854166
3.859375,32.490625
3.859375,32.49270833
3.859375,32.49479166
3.859375,32.496875
3.859375,32.49895833
3.859375,32.50104166
3.859375,32.503125
3.859375,32.50520833
3.859375,32.50729166
3.859375,32.509375
3.859375,32.51145833
3.857291666,32.453125
3.857291666,32.45520833
3.857291666,32.45729166
3.857291666,32.459375
3.857291666,32.46145833
3.857291666,32.46354166
3.857291666,32.465625
3.857291666,32.46770833
3.857291666,32.46979166
3.857291666,32.471875
3.857291666,32.47395833
3.857291666,32.47604166
3.857291666,32.478125
3.857291666,32.48020833
3.857291666,32.48229166
3.857291666,32.484375
3.857291666,32.48645833
3.857291666,32.48854166
3.857291666,32.490625
3.857291666,32.49270833
3.857291666,32.49479166
3.857291666,32.496875
3.857291666,32.49895833
3.857291666,32.50104166
3.857291666,32.503125
3.857291666,32.50520833
3.857291666,32.50729166
3.857291666,32.509375
3.857291666,32.51145833
3.855208333,32.453125
3.855208333,32.45520833
3.855208333,32.45729166
3.855208333,32.459375
3.855208333,32.46145833
3.855208333,32.46354166
3.855208333,32.465625
3.855208333,32.46770833
3.855208333,32.46979166
3.855208333,32.471875
3.855208333,32.47395833
3.855208333,32.47604166
3.855208333,32.478125
3.855208333,32.48020833
3.855208333,32.48229166
3.855208333,32.484375
3.855208333,32.48645833
3.855208333,32.48854166
3.855208333,32.490625
3.855208333,32.49270833
3.855208333,32.49479166
3.855208333,32.496875
3.855208333,32.49895833
3.855208333,32.50104166
3.855208333,32.503125
3.855208333,32.50520833
3.855208333,32.50729166
3.855208333,32.509375
3.855208333,32.51145833